title,tags_x,genre,popularity,vote_count,vote_average
crocodile dundee in los angeles,"simon wincer paul hogan, linda kozlowski, jere burns, jonathan banks, aida turturro, alec wilson, gerri skilton, steve rackman, serg cockburn, paul rodriguez, mark adair-rios, tiriel mora, grant piro, mike tyson action & adventure, comedi when mick ""crocodile"" dunde and hi famili land in lo angeles, they soon learn some lesson about american life in thi comedi sequel.","Adventure, Comedy",15.59,474.0,not_popular
dear john,"lass hallström chan tatum, amanda seyfried, richard jenkins, henri thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter dramas, romant movi while on summer leave, a u.s. soldier fall for a colleg student. but when he' forc to reenlist, their handwritten letter hold the lover together.","Drama, Romance, War",21.559,3653.0,average
extraction,"steven c. miller bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen action & adventur when a retir cia agent is kidnapped, hi son, a govern analyst, embark on an unauthor mission to find him and halt a terrorist plot.","Drama, Action, Thriller",54.35,4369.0,popular
freedom writers,"richard lagravenes hilari swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deanc wyatt, vanetta smith drama while her at-risk student are read classic such as ""the diari of ann frank,"" a teacher ask them to keep journal about their troubl lives.","Crime, Drama",25.402,1714.0,popular
green lantern,"martin campbel ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett action & adventure, sci-fi & fantasi test pilot hal jordan har glow new power for good when he wear an otherworldli ring and help an intergalact forc stop a power threat.","Adventure, Action, Thriller, Science Fiction",140.802,6080.0,not_popular
initial d,"andrew lau wai-keung, alan mak jay chou, ann suzuki, edison chen, anthoni wong chau-sang, shawn yue, chapman to, jordan chan, kenni bee action & adventure, intern movi by day, an 18-year-old deliv tofu for hi father, a retir race car driver; but by night, it' the teen' turn to take the wheel.","Action, Crime, Thriller, Drama",16.806,171.0,average
labyrinth,"jim henson david bowie, jennif connelly, frank oz, kevin clash, anthoni asbury, dave goelz, brian henson, ron mueck, karen prell, shari weiser action & adventure, children & famili movies, cult movi in jim henson' fantasy, teen sarah embark on a life-alt quest to rescu her littl brother from the clutch of a treacher goblin.","Adventure, Family, Fantasy",22.659,1839.0,popular
letters to juliet,"gari winick amanda seyfried, christoph egan, gael garcía bernal, vanessa redgrave, franco nero, luisa ranieri, marina massironi, milena vukotic, marcia debonis, luisa de santis, lidia biondi, giordano formenti, chri egan comedies, dramas, romant movi by respond to a letter address to shakespeare' tragic heroin juliet capulet, an american woman in verona, italy, is led in search of romance.","Comedy, Drama, Romance",32.556,2489.0,average
mars attacks!,"tim burton jack nicholson, glenn close, annett bening, pierc brosnan, danni devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, luka haas, natali portman comedies, cult movies, sci-fi & fantasi as fli saucer head for earth, the presid of the unit state prepar to welcom alien visitor but soon learn they'r not come in peace.","Comedy, Fantasy, Science Fiction",25.712,4408.0,below_avg
mystery men,"kinka usher ben stiller, hank azaria, william h. macy, janean garofalo, kel mitchell, paul reubens, we studi, greg kinnear, geoffrey rush, lena olin, eddi izzard, arti lange, pras, clair forlani, tom wait action & adventure, comedi a team of far-from-sup hero tri to earn respect by spring into action when brave and dash captain amaz disappears.","Adventure, Fantasy, Action, Comedy, Science Fiction",15.568,636.0,not_popular
once upon a time in america,"sergio leon robert de niro, jame woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danni aiello, william forsythe, jame hayden classic movies, drama director sergio leone' sprawl crime epic follow a group of jewish mobster who rise in the rank of organ crime in 1920 new york city.","Drama, Crime",35.818,4053.0,popular
open season 2,"matthew o'callaghan, todd wilderman joel mchale, mike epps, jane krakowski, billi connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, codi cameron, fred stoller, olivia hack children & famili movies, comedi elliot the buck and hi forest-dwel cohort must rescu their dachshund pal from some spoil pet bent on return him to domesticity.","Adventure, Animation, Comedy, Family",22.978,957.0,not_popular
osmosis jones,"bobbi farrelly, peter farrelli chri rock, laurenc fishburne, david hyde pierce, brandi norwood, william shatner, ron howard, kid rock, ben stein action & adventure, children & famili movies, comedi peter and bobbi farrelli outdo themselv with thi partial anim tale about an out-of-shap 40-year-old man who' the host to variou organisms.","Adventure, Animation, Action, Comedy, Family",17.226,820.0,below_avg
poseidon,"wolfgang petersen josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmi rossum, mía maestro, mike vogel, kevin dillon, freddi rodríguez action & adventure, drama a tidal wave spell disast for a ship of new year' eve revel when it capsiz the mammoth vessel, send passeng into a battl for survival.","Adventure, Action, Drama, Thriller",17.627,1702.0,not_popular
